model_name,split,sample_id,summarizer,f1_score,precision,recall,length_ratio,wer,medical_wer
whisper_base,eval,84,bert_extractive,0.8275862068965517,0.8275862068965517,0.8275862068965517,1.0,0.1290322580645161,0.0
whisper_base,eval,176,mt5_small,0.05263157894736842,0.08333333333333333,0.038461538461538464,0.46153846153846156,0.1923076923076923,0.0
whisper_base,eval,176,bert_extractive,0.7843137254901961,0.8,0.7692307692307693,0.9615384615384616,0.1923076923076923,0.0
whisper_base,eval,268,mt5_small,0.23076923076923078,0.375,0.16666666666666666,0.4444444444444444,0.0,0.0
whisper_base,eval,268,bert_extractive,1.0,1.0,1.0,1.0,0.0,0.0
whisper_base,eval,93,mt5_small,0.1935483870967742,0.21428571428571427,0.17647058823529413,0.8235294117647058,0.75,0.0
whisper_base,eval,93,bert_extractive,0.37037037037037035,0.5,0.29411764705882354,0.5882352941176471,0.75,0.0
whisper_base,test,852,mt5_small,0.05,0.07692307692307693,0.037037037037037035,0.48148148148148145,0.2333333333333333,0.0
whisper_base,test,852,bert_extractive,0.6037735849056604,0.6153846153846154,0.5925925925925926,0.9629629629629629,0.2333333333333333,0.0
whisper_base,test,941,mt5_small,0.0,0.0,0.0,0.41935483870967744,0.0571428571428571,0.0
whisper_base,test,941,bert_extractive,0.7213114754098361,0.7333333333333333,0.7096774193548387,0.967741935483871,0.0571428571428571,0.0
whisper_base,test,1085,mt5_small,0.08888888888888888,0.16666666666666666,0.06060606060606061,0.36363636363636365,0.081081081081081,0.0
whisper_base,test,1085,bert_extractive,0.823529411764706,0.8,0.8484848484848485,1.0606060606060606,0.081081081081081,0.0
whisper_base,test,1006,mt5_small,0.0,0.0,0.0,0.25,0.375,0.0
whisper_base,test,1006,bert_extractive,0.75,0.9375,0.625,0.6666666666666666,0.375,0.0
whisper_base,test,761,mt5_small,0.16666666666666666,0.2,0.14285714285714285,0.7142857142857143,0.1304347826086956,0.0
whisper_base,test,761,bert_extractive,0.9523809523809523,0.9523809523809523,0.9523809523809523,1.0,0.1304347826086956,0.0
whisper_base,test,290,mt5_small,0.0,0.0,0.0,0.19230769230769232,0.4814814814814814,0.0
whisper_base,test,290,bert_extractive,0.7368421052631579,0.6774193548387096,0.8076923076923077,1.1923076923076923,0.4814814814814814,0.0
whisper_base,test,398,mt5_small,0.0,0.0,0.0,0.23333333333333334,0.0857142857142857,0.0
whisper_base,test,398,bert_extractive,0.7868852459016393,0.7741935483870968,0.8,1.0333333333333334,0.0857142857142857,0.0
whisper_base,test,192,mt5_small,0.0,0.0,0.0,0.18518518518518517,0.0714285714285714,0.0
whisper_base,test,192,bert_extractive,0.7777777777777778,0.7777777777777778,0.7777777777777778,1.0,0.0714285714285714,0.0
whisper_base,test,289,mt5_small,0.0625,0.1111111111111111,0.043478260869565216,0.391304347826087,0.0416666666666666,0.0
whisper_base,test,289,bert_extractive,0.9787234042553191,0.9583333333333334,1.0,1.0434782608695652,0.0416666666666666,0.0
whisper_base,test,887,mt5_small,0.14634146341463417,0.3333333333333333,0.09375,0.28125,0.1428571428571428,0.0
whisper_base,test,887,bert_extractive,0.7419354838709677,0.7666666666666667,0.71875,0.9375,0.1428571428571428,0.0
whisper_base,test,88,mt5_small,0.25641025641025644,0.35714285714285715,0.2,0.56,0.04,0.0
whisper_base,test,88,bert_extractive,0.96,0.96,0.96,1.0,0.04,0.0
whisper_base,test,597,mt5_small,0.10810810810810811,0.15384615384615385,0.08333333333333333,0.5416666666666666,0.074074074074074,0.5
whisper_base,test,597,bert_extractive,0.8979591836734694,0.88,0.9166666666666666,1.0416666666666667,0.074074074074074,0.5
whisper_base,test,773,mt5_small,0.0,0.0,0.0,0.32142857142857145,0.1612903225806451,0.0
whisper_base,test,773,bert_extractive,0.8070175438596492,0.7931034482758621,0.8214285714285714,1.0357142857142858,0.1612903225806451,0.0
whisper_base,test,51,mt5_small,0.09523809523809525,0.3333333333333333,0.05555555555555555,0.16666666666666666,0.225,0.0
whisper_base,test,51,bert_extractive,0.7222222222222222,0.7222222222222222,0.7222222222222222,1.0,0.225,0.0
whisper_base,test,260,mt5_small,0.4090909090909091,0.6428571428571429,0.3,0.4666666666666667,0.15625,0.0
whisper_base,test,260,bert_extractive,0.7142857142857142,0.7692307692307693,0.6666666666666666,0.8666666666666667,0.15625,0.0
whisper_base,test,589,mt5_small,0.0,0.0,0.0,0.52,0.0357142857142857,0.0
whisper_base,test,589,bert_extractive,0.96,0.96,0.96,1.0,0.0357142857142857,0.0
whisper_base,test,568,mt5_small,0.0,0.0,0.0,0.5,0.25,0.3333333333333333
whisper_base,test,568,bert_extractive,0.7272727272727274,0.6896551724137931,0.7692307692307693,1.1153846153846154,0.25,0.3333333333333333
whisper_base,test,44,mt5_small,0.11764705882352941,0.2222222222222222,0.08,0.36,0.0714285714285714,0.0
whisper_base,test,44,bert_extractive,0.8235294117647058,0.8076923076923077,0.84,1.04,0.0714285714285714,0.0
whisper_base,test,716,mt5_small,0.12765957446808512,0.2,0.09375,0.46875,0.2058823529411764,0.0
whisper_base,test,716,bert_extractive,0.7741935483870969,0.8,0.75,0.9375,0.2058823529411764,0.0
whisper_base,test,307,mt5_small,0.05,0.09090909090909091,0.034482758620689655,0.3793103448275862,0.2571428571428571,0.0
whisper_base,test,307,bert_extractive,0.6896551724137931,0.6896551724137931,0.6896551724137931,1.0,0.2571428571428571,0.0
whisper_base,test,323,mt5_small,0.0,0.0,0.0,0.21739130434782608,0.1538461538461538,0.0
whisper_base,test,323,bert_extractive,0.8,0.8181818181818182,0.782608695652174,0.9565217391304348,0.1538461538461538,0.0
whisper_base,test,668,mt5_small,0.0,0.0,0.0,0.20833333333333334,0.6,0.0
whisper_base,test,668,bert_extractive,0.4761904761904762,0.5555555555555556,0.4166666666666667,0.75,0.6,0.0
whisper_base,test,983,mt5_small,0.16666666666666666,0.3076923076923077,0.11428571428571428,0.37142857142857144,0.1282051282051282,0.0
whisper_base,test,983,bert_extractive,0.8405797101449276,0.8529411764705882,0.8285714285714286,0.9714285714285714,0.1282051282051282,0.0
whisper_base,test,210,mt5_small,0.08333333333333333,0.11764705882352941,0.06451612903225806,0.5483870967741935,0.0294117647058823,0.0
whisper_base,test,210,bert_extractive,0.8852459016393444,0.9,0.8709677419354839,0.967741935483871,0.0294117647058823,0.0
whisper_base,test,861,mt5_small,0.14285714285714285,0.21428571428571427,0.10714285714285714,0.5,0.6363636363636364,1.0
whisper_base,test,861,bert_extractive,0.47058823529411764,0.5217391304347826,0.42857142857142855,0.8214285714285714,0.6363636363636364,1.0
whisper_base,test,243,mt5_small,0.9,0.8181818181818182,1.0,1.2222222222222223,0.0,0.0
whisper_base,test,243,bert_extractive,1.0,1.0,1.0,1.0,0.0,0.0
whisper_base,test,308,mt5_small,0.0,0.0,0.0,0.24,0.2903225806451613,0.0
whisper_base,test,308,bert_extractive,0.5882352941176471,0.5769230769230769,0.6,1.04,0.2903225806451613,0.0
whisper_base,test,174,mt5_small,0.34615384615384615,0.45,0.28125,0.625,0.075,0.0
whisper_base,test,174,bert_extractive,0.875,0.875,0.875,1.0,0.075,0.0
whisper_base,test,825,mt5_small,0.22727272727272727,0.4166666666666667,0.15625,0.375,0.0769230769230769,0.0
whisper_base,test,825,bert_extractive,0.84375,0.84375,0.84375,1.0,0.0769230769230769,0.0
whisper_base,test,425,mt5_small,0.06666666666666667,0.14285714285714285,0.043478260869565216,0.30434782608695654,0.08,0.0
whisper_base,test,425,bert_extractive,0.9130434782608695,0.9130434782608695,0.9130434782608695,1.0,0.08,0.0
whisper_base,test,70,mt5_small,0.0,0.0,0.0,0.19230769230769232,0.1481481481481481,0.0
whisper_base,test,70,bert_extractive,0.7199999999999999,0.75,0.6923076923076923,0.9230769230769231,0.1481481481481481,0.0
whisper_base,test,86,mt5_small,0.0,0.0,0.0,0.2777777777777778,0.5,0.0
whisper_base,test,86,bert_extractive,0.6,0.5454545454545454,0.6666666666666666,1.2222222222222223,0.5,0.0
